CHUNKS SUMMARY
==================================================

Total chunks: 157
Average content length: 145.8 characters
Min content length: 26 characters
Max content length: 800 characters
Average token count: 32.0 tokens
Min token count: 4 tokens
Max token count: 310 tokens

CHUNK DETAILS:
------------------------------
Chunk 001: 133 chars, 47 tokens, Page 0
Chunk 002: 116 chars, 26 tokens, Page 1
Chunk 003: 526 chars, 163 tokens, Page 1
Chunk 004: 163 chars, 34 tokens, Page 1
Chunk 005: 256 chars, 47 tokens, Page 1
Chunk 006: 93 chars, 14 tokens, Page 1
Chunk 007: 116 chars, 26 tokens, Page 2
Chunk 008: 118 chars, 35 tokens, Page 2
Chunk 009: 66 chars, 13 tokens, Page 2
Chunk 010: 157 chars, 33 tokens, Page 2
Chunk 011: 106 chars, 19 tokens, Page 2
Chunk 012: 40 chars, 7 tokens, Page 2
Chunk 013: 116 chars, 26 tokens, Page 3
Chunk 014: 270 chars, 58 tokens, Page 3
Chunk 015: 122 chars, 22 tokens, Page 3
Chunk 016: 201 chars, 34 tokens, Page 3
Chunk 017: 90 chars, 18 tokens, Page 3
Chunk 018: 86 chars, 16 tokens, Page 3
Chunk 019: 247 chars, 39 tokens, Page 3
Chunk 020: 122 chars, 20 tokens, Page 3
Chunk 021: 145 chars, 26 tokens, Page 3
Chunk 022: 86 chars, 15 tokens, Page 3
Chunk 023: 104 chars, 19 tokens, Page 3
Chunk 024: 68 chars, 14 tokens, Page 3
Chunk 025: 83 chars, 14 tokens, Page 3
Chunk 026: 128 chars, 19 tokens, Page 3
Chunk 027: 101 chars, 16 tokens, Page 3
Chunk 028: 63 chars, 12 tokens, Page 3
Chunk 029: 100 chars, 17 tokens, Page 3
Chunk 030: 207 chars, 38 tokens, Page 3
Chunk 031: 82 chars, 15 tokens, Page 3
Chunk 032: 77 chars, 14 tokens, Page 3
Chunk 033: 173 chars, 30 tokens, Page 3
Chunk 034: 110 chars, 18 tokens, Page 3
Chunk 035: 28 chars, 4 tokens, Page 3
Chunk 036: 116 chars, 26 tokens, Page 4
Chunk 037: 136 chars, 37 tokens, Page 4
Chunk 038: 87 chars, 15 tokens, Page 4
Chunk 039: 37 chars, 6 tokens, Page 4
Chunk 040: 134 chars, 24 tokens, Page 4
Chunk 041: 68 chars, 10 tokens, Page 4
Chunk 042: 74 chars, 11 tokens, Page 4
Chunk 043: 84 chars, 13 tokens, Page 4
Chunk 044: 194 chars, 28 tokens, Page 4
Chunk 045: 43 chars, 7 tokens, Page 4
Chunk 046: 133 chars, 22 tokens, Page 4
Chunk 047: 51 chars, 9 tokens, Page 4
Chunk 048: 87 chars, 13 tokens, Page 4
Chunk 049: 139 chars, 23 tokens, Page 4
Chunk 050: 135 chars, 24 tokens, Page 4
Chunk 051: 216 chars, 31 tokens, Page 4
Chunk 052: 116 chars, 26 tokens, Page 5
Chunk 053: 123 chars, 48 tokens, Page 5
Chunk 054: 116 chars, 26 tokens, Page 6
Chunk 055: 293 chars, 72 tokens, Page 6
Chunk 056: 116 chars, 26 tokens, Page 7
Chunk 057: 440 chars, 124 tokens, Page 7
Chunk 058: 515 chars, 97 tokens, Page 7
Chunk 059: 181 chars, 39 tokens, Page 7
Chunk 060: 50 chars, 10 tokens, Page 7
Chunk 061: 116 chars, 26 tokens, Page 8
Chunk 062: 335 chars, 72 tokens, Page 8
Chunk 063: 211 chars, 41 tokens, Page 8
Chunk 064: 303 chars, 71 tokens, Page 8
Chunk 065: 66 chars, 20 tokens, Page 8
Chunk 066: 26 chars, 11 tokens, Page 8
Chunk 067: 101 chars, 20 tokens, Page 8
Chunk 068: 87 chars, 27 tokens, Page 8
Chunk 069: 68 chars, 11 tokens, Page 8
Chunk 070: 173 chars, 35 tokens, Page 8
Chunk 071: 54 chars, 9 tokens, Page 8
Chunk 072: 79 chars, 18 tokens, Page 8
Chunk 073: 114 chars, 26 tokens, Page 8
Chunk 074: 128 chars, 33 tokens, Page 8
Chunk 075: 102 chars, 33 tokens, Page 8
Chunk 076: 67 chars, 10 tokens, Page 8
Chunk 077: 261 chars, 50 tokens, Page 8
Chunk 078: 109 chars, 17 tokens, Page 8
Chunk 079: 81 chars, 30 tokens, Page 8
Chunk 080: 53 chars, 14 tokens, Page 8
